Date,Day,Name of place,Location (approximate),Details,Source url,Image url,Icon 1,lon,lat,
16/11/2012,Friday,Beit Lahia,"31.5515, 34.5089","Firefighters try to extinguish a fire at a factory, which according to Palestinians was hit by an Israeli air strike in Gaza.",http://www.guardian.co.uk/news/2012/nov/16/picture-desk-live-news-pictures-from-israel,http://static.guim.co.uk/sys-images/Guardian/Pix/pictures/2012/11/16/1353061041831/ff601e6f-85f4-4524-88fc-d646acd1b1ce-620.jpeg,placemark_circle_highlight,31.5515,34.5089,
15/11/2012,Thursday,Police Station in Deir al-Balah,"31.4205, 34.3513",Israeli aircraft also bombed a police station in central Gaza and tunnels on Gaza's border with Egypt through which basic civilian goods and arms destined for militant groups pass into the Strip,Wires,,placemark_circle_highlight,31.4205,34.3513,
15/11/2012,Thursday,Beit Hanoun,"31.5382, 34.5380","Brothers Tareq Jamal Naser, 16, and Oday Jamal Nasser, 14, as well as Fares al-Bassiouni were killed when Israel bombed their home in Beit Hanoun, the ministry said",http://www.maannews.net/eng/ViewDetails.aspx?ID=538027,,placemark_circle_highlight,31.5382,34538,
15/11/2012,Thursday,Sheikh Radwan neighborhood,"31.536297, 34.465828","Violent explosions across Gaza City's Sheikh Radwan neighborhood set a high-rise building ablaze. Several injured, brought to Gaza's Al-Shifa hospital, a Ma'an correspondent said",http://www.maannews.net/eng/ViewDetails.aspx?ID=538027,,placemark_circle_highlight,31.536297,34.465828,
15/11/2012,Thursday,Tel Aviv,"32.0718, 34.777",Two rockets from Gaza crashed near Tel Aviv on Thursday evening in the first such attack on Israel's commercial capital in 20 years. One fell into the Mediterranean Sea and the other in an uninhabited part of a suburb south of the city,http://www.guardian.co.uk/world/2012/nov/15/israel-gaza-rocket-tel-aviv,,placemark_circle_highlight,32.0718,34777,
15/11/2012,Thursday,Rafah,"31.2915, 34.2824
","Airstrikes also hit an open area east of Gaza City, and four areas near Rafah in south Gaza",http://www.maannews.net/eng/ViewDetails.aspx?ID=538027,,placemark_circle_highlight,31.2915,34.2824,
15/11/2012,Thursday,Kiryat Malach,Kiryat Malach,A rocket fired from Gaza killed three Israelis in the town of Kiryat Malachi on Thursday morning,http://www.guardian.co.uk/world/2012/nov/16/israel-gaza-conflict-egyptian-pm-solidarity-visit-live,,placemark_circle_highlight,,,
16/11/2012,Friday,Gaza City,"31.5246, 34.4530","Early on Friday, 85 missiles exploded within 45 minutes in Gaza City. One missile hit the interior ministry and another hit an empty house belonging to a senior Hamas commander",http://www.guardian.co.uk/world/2012/nov/16/israel-gaza-conflict-egyptian-pm-solidarity-visit-live,,placemark_circle_highlight,31.5246,34453,
16/11/2012,Friday,Gaza City,"31.5246, 34.4530","An attack on a generator building near the home of Gaza's Hamas prime minister, Ismail Haniyeh",http://www.guardian.co.uk/world/2012/nov/16/israel-gaza-conflict-egyptian-pm-solidarity-visit-live,,placemark_circle_highlight,31.5246,34453,
14/11/2012,Wednesday,Gaza City,"31.5246, 34.4530","Israel killed Hamas's military mastermind, Ahmed al-Jabari, in an air strike on his car",http://www.guardian.co.uk/world/2012/nov/14/israel-assassinates-hamas-military-chief,http://static.guim.co.uk/sys-images/Guardian/About/General/2012/11/16/1353055730353/Eyewitness-Gaza-City-001.jpg,placemark_circle_highlight,31.5246,34453,
16/11/2012,Friday,Jabalia refugee camp,"31.539114, 34.499342","Two Palestinians, one of them a child, have been killed in an airstrike that hit a house in the Jabalia refugee camp, al-Jazeera reports, citing medical sources",http://blogs.aljazeera.com/topic/gaza/two-killed-during-egyptian-pms-visit-gaza-0,,placemark_circle_highlight,31.539114,34.499342,
